F_t,T1,T2,BER,Loss_dB,Distance_km,Transmission_Efficiency,Depolarization_Level,Photon_Rate,Latency,channel_available
0.0,5.015235853987722e-05,3.0075961353088606e-05,0.18937961326287361,1.9969021243620142,9.98451062181007,0.63140757462659,0.010166801152337274,631407.57462659,6.152580655240507e-05,0.0
0.6705602578599136,4.962931931595943e-05,3.034300764669469e-05,0.18973531902854887,1.997566443604124,9.98783221802062,0.6313109986534983,0.010781636710596,631310.9986534982,6.196709359355853e-05,1.0
0.6731061727759179,5.001195852754347e-05,3.0418143870721857e-05,0.18913190743445255,1.9852075552910664,9.926037776455331,0.6331101037873526,0.011373918656257623,633110.1037873526,6.155309037528687e-05,1.0
0.0,5.048200171518821e-05,3.108143049323175e-05,0.18801391719458327,1.9716258685682424,9.858129342841211,0.6350931274807059,0.011120961869872412,635093.1274807059,6.119354294633204e-05,0.0
0.6743414287830442,4.949684408655753e-05,3.148873811910824e-05,0.18822594904952233,1.9740163290202575,9.870081645101287,0.6347436532581773,0.01119555135722196,634743.6532581772,6.134030706440069e-05,1.0
0.68037763333377,4.885581745139522e-05,3.136670502731097e-05,0.18723175756088015,1.9669581967667025,9.834790983833512,0.6357760741922411,0.010239589314001448,635776.0741922412,6.077320410735766e-05,1.0
0.0,4.894262130395096e-05,3.124396269662263e-05,0.18623769754198452,1.9530939156612992,9.765469578306496,0.6378089489480133,0.010284344031982385,637808.9489480134,6.0556799149910825e-05,0.0
0.6803604255835013,4.880564758170015e-05,3.135999245853578e-05,0.18681315049369515,1.9636854502712138,9.818427251356068,0.6362553614500365,0.009881662437426778,636255.3614500365,6.070111384579042e-05,1.0
0.6778162263105868,4.8821134051314e-05,3.108138685523736e-05,0.18635787670553958,1.9580937945365187,9.790468972682593,0.6370750845646188,0.009790837975697984,637075.0845646188,6.06572537363155e-05,1.0
0.6817063838175899,4.841818940650093e-05,3.140964561009236e-05,0.18684215512170044,1.9704300346844417,9.852150173422208,0.6352680250403748,0.008952335283775677,635268.0250403748,6.079814628639442e-05,1.0
0.0,4.888952460580233e-05,3.148993285444359e-05,0.18701792004988818,1.971306141901847,9.856530709509235,0.6351398846216834,0.0091757247214597,635139.8846216834,6.035736624042554e-05,0.0
0.0,4.9300630081400756e-05,3.153707187061228e-05,0.18685941704167608,1.9748276076843632,9.874138038421815,0.6346250917958906,0.008343925879242703,634625.0917958906,6.033569687158725e-05,0.0
0.692035973941188,4.934763282855335e-05,3.1712416533531276e-05,0.18679528096354464,1.9732160580697073,9.866080290348537,0.6348606277379644,0.008451189665053642,634860.6277379644,6.050834128276369e-05,1.0
0.6928060115816236,4.99243007754663e-05,3.219501716787137e-05,0.18459690367959053,1.9472001144628561,9.73600057231428,0.6386751057160602,0.007868913075241294,638675.1057160603,5.99926019226951e-05,1.0
0.6932711940433548,5.0159569431082994e-05,3.22024034301702e-05,0.18364666986119288,1.9368882472630622,9.68444123631531,0.6401933745737828,0.007486714296168526,640193.3745737828,5.9757832521678193e-05,1.0
0.6862351592439838,4.972673181101971e-05,3.212444325030538e-05,0.1839608646209953,1.9368933877206136,9.684466938603068,0.6401926168195271,0.008114346061517737,640192.6168195271,6.004068806221805e-05,1.0
0.6886155717112812,4.9916572566840566e-05,3.253457027229605e-05,0.1844883447714778,1.9418028113391284,9.709014056695642,0.6394693285702886,0.008446018113244193,639469.3285702886,6.0109978381533596e-05,1.0
0.0,4.943879981508926e-05,3.277414399164747e-05,0.18355691345595912,1.9250700148884647,9.625350074442323,0.6419378724078963,0.009051699319814581,641937.8724078963,5.971724320251047e-05,0.0
0.0,4.988924896944111e-05,3.2622367159699407e-05,0.1840274608291512,1.9260325975120907,9.630162987560453,0.6417956072413665,0.009850528899668934,641795.6072413665,5.9605567847587016e-05,0.0
